               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.037519,           0.0076481,                   0,             0.85547,             0.67544,             0.75651,             0.30544,             0.04597,           0.0081574,                   0,           0.0072872,           0.0072872,           0.0072872
                  39,            0.034589,           0.0070403,                   0,             0.85253,             0.70996,             0.75431,             0.29367,            0.045351,           0.0079006,                   0,           0.0071566,           0.0071566,           0.0071566
                  40,            0.034547,           0.0070692,                   0,             0.86443,             0.72711,             0.77278,             0.24696,            0.046246,            0.007952,                   0,           0.0070243,           0.0070243,           0.0070243
                  41,            0.033425,           0.0071907,                   0,             0.84025,             0.69206,             0.76304,             0.32958,            0.046141,           0.0077546,                   0,           0.0068906,           0.0068906,           0.0068906
                  42,            0.036305,           0.0067126,                   0,             0.81241,             0.74561,             0.78038,              0.2716,            0.047498,           0.0077919,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,            0.035622,           0.0071393,                   0,             0.86551,             0.73684,             0.79426,             0.31103,            0.046697,           0.0079564,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.031966,            0.006362,                   0,             0.88307,             0.59624,             0.69717,             0.27587,             0.04621,           0.0078475,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,            0.033767,           0.0068006,                   0,             0.84497,              0.7193,             0.77555,             0.31273,            0.046329,            0.008112,                   0,           0.0063432,           0.0063432,           0.0063432
                  46,            0.032107,           0.0066304,                   0,             0.87136,              0.7193,             0.77972,             0.30786,             0.04663,           0.0079527,                   0,            0.006204,            0.006204,            0.006204
                  47,             0.03066,           0.0062984,                   0,             0.85392,             0.66667,             0.75292,              0.2919,            0.048192,           0.0080939,                   0,            0.006064,            0.006064,            0.006064
                  48,            0.030799,           0.0067547,                   0,             0.83121,             0.64912,             0.72898,             0.30075,            0.047959,           0.0083307,                   0,           0.0059235,           0.0059235,           0.0059235
                  49,            0.030699,           0.0061669,                   0,             0.81785,             0.71053,             0.76276,             0.33564,            0.046901,           0.0084573,                   0,           0.0057826,           0.0057826,           0.0057826
                  50,            0.028785,           0.0059897,                   0,             0.84536,             0.71928,              0.7756,             0.32441,            0.045762,            0.007886,                   0,           0.0056413,           0.0056413,           0.0056413
                  51,            0.029607,           0.0062573,                   0,             0.78566,             0.74561,              0.7783,             0.29578,            0.048151,           0.0077719,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.029231,           0.0059626,                   0,             0.87467,             0.67342,             0.76042,             0.28713,            0.048983,            0.007876,                   0,           0.0053587,           0.0053587,           0.0053587
                  53,            0.027171,           0.0065972,                   0,             0.83797,             0.72807,             0.78969,              0.3229,            0.046971,           0.0078113,                   0,           0.0052174,           0.0052174,           0.0052174
                  54,            0.031487,           0.0060262,                   0,             0.85592,             0.73684,             0.76149,             0.32141,             0.04468,           0.0078145,                   0,           0.0050765,           0.0050765,           0.0050765
                  55,            0.028661,           0.0063786,                   0,             0.89997,             0.71025,             0.78767,             0.32943,            0.044908,           0.0076888,                   0,            0.004936,            0.004936,            0.004936
                  56,            0.029746,           0.0062438,                   0,             0.91671,             0.68421,             0.77243,             0.34582,             0.04444,           0.0078038,                   0,            0.004796,            0.004796,            0.004796
                  57,            0.027657,            0.006164,                   0,             0.94168,             0.71053,             0.82217,             0.32575,            0.044174,           0.0076004,                   0,           0.0046568,           0.0046568,           0.0046568
                  58,             0.02644,           0.0062613,                   0,             0.95237,             0.70159,             0.82114,             0.32159,            0.045491,           0.0076357,                   0,           0.0045184,           0.0045184,           0.0045184
                  59,            0.027221,           0.0061865,                   0,             0.89006,             0.71017,             0.81292,              0.3579,            0.044237,           0.0075776,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,            0.026168,            0.005936,                   0,             0.82686,             0.75439,             0.79052,             0.35046,            0.042948,           0.0076227,                   0,           0.0042445,           0.0042445,           0.0042445
                  61,            0.024864,           0.0057672,                   0,             0.94261,             0.72807,             0.82162,             0.34058,            0.043506,           0.0077405,                   0,           0.0041094,           0.0041094,           0.0041094
                  62,            0.025111,           0.0059679,                   0,             0.94381,             0.73676,             0.81506,             0.35165,              0.0438,           0.0078638,                   0,           0.0039757,           0.0039757,           0.0039757
                  63,            0.024766,           0.0057232,                   0,             0.94109,             0.70175,             0.81172,             0.35358,            0.043864,           0.0078974,                   0,           0.0038434,           0.0038434,           0.0038434
                  64,            0.024721,           0.0054818,                   0,             0.92998,             0.70175,             0.79064,              0.3451,            0.044394,           0.0079291,                   0,           0.0037128,           0.0037128,           0.0037128
                  65,            0.024638,           0.0055198,                   0,             0.91203,             0.72807,             0.80329,             0.33647,            0.043509,           0.0077985,                   0,            0.003584,            0.003584,            0.003584
                  66,            0.024269,           0.0057907,                   0,             0.91858,             0.69298,             0.77977,             0.31749,            0.043487,           0.0077842,                   0,            0.003457,            0.003457,            0.003457
                  67,            0.025317,           0.0059431,                   0,             0.91858,             0.69298,             0.77254,             0.32339,            0.044281,           0.0079823,                   0,           0.0033321,           0.0033321,           0.0033321
                  68,            0.024635,           0.0055967,                   0,                0.85,             0.74561,             0.81088,             0.34067,            0.045362,           0.0079837,                   0,           0.0032093,           0.0032093,           0.0032093
                  69,            0.024098,           0.0054325,                   0,             0.95181,             0.69295,             0.80358,             0.35409,            0.044204,           0.0077576,                   0,           0.0030888,           0.0030888,           0.0030888
                  70,            0.023528,           0.0058299,                   0,             0.95177,             0.69298,             0.81897,             0.38906,            0.042611,           0.0078022,                   0,           0.0029706,           0.0029706,           0.0029706
                  71,            0.022744,           0.0055104,                   0,             0.96385,             0.70155,              0.8075,             0.37827,             0.04218,           0.0079078,                   0,            0.002855,            0.002855,            0.002855
                  72,             0.02343,           0.0056719,                   0,             0.96465,              0.7193,             0.82332,             0.36895,            0.042088,            0.007713,                   0,           0.0027419,           0.0027419,           0.0027419
                  73,            0.021874,           0.0051842,                   0,             0.95314,              0.7193,             0.82113,             0.37223,            0.041686,           0.0076994,                   0,           0.0026316,           0.0026316,           0.0026316
                  74,             0.02103,           0.0054792,                   0,             0.95378,             0.72807,             0.81576,             0.35611,            0.042214,            0.007667,                   0,           0.0025241,           0.0025241,           0.0025241
                  75,            0.021555,            0.005205,                   0,             0.93318,             0.75439,             0.83968,             0.38568,            0.042138,           0.0075831,                   0,           0.0024195,           0.0024195,           0.0024195
                  76,            0.021577,           0.0053263,                   0,             0.93329,             0.74561,             0.82356,             0.38196,               0.044,           0.0075566,                   0,            0.002318,            0.002318,            0.002318
                  77,            0.020983,           0.0053665,                   0,             0.93325,             0.73684,             0.82846,              0.3854,            0.043144,           0.0076313,                   0,           0.0022196,           0.0022196,           0.0022196
                  78,            0.021691,            0.005412,                   0,             0.93333,             0.73683,             0.82655,              0.3888,            0.042186,           0.0077516,                   0,           0.0021245,           0.0021245,           0.0021245
                  79,            0.020861,           0.0053046,                   0,             0.92221,             0.72807,             0.82079,             0.37169,            0.042805,           0.0078197,                   0,           0.0020327,           0.0020327,           0.0020327
                  80,            0.021079,           0.0049724,                   0,             0.91009,             0.71031,             0.79379,             0.35598,            0.043869,           0.0078498,                   0,           0.0019443,           0.0019443,           0.0019443
                  81,            0.021118,           0.0056549,                   0,             0.92856,             0.68412,             0.79073,             0.35298,            0.044403,           0.0078605,                   0,           0.0018594,           0.0018594,           0.0018594
                  82,             0.02034,           0.0050615,                   0,             0.92936,             0.69298,             0.79182,             0.37163,              0.0436,           0.0079063,                   0,           0.0017781,           0.0017781,           0.0017781
                  83,            0.020225,           0.0050211,                   0,             0.94102,             0.70175,             0.80295,             0.37112,            0.043881,           0.0078786,                   0,           0.0017005,           0.0017005,           0.0017005
                  84,            0.019909,           0.0049554,                   0,             0.96385,             0.70165,             0.80569,             0.36408,            0.044228,            0.007991,                   0,           0.0016267,           0.0016267,           0.0016267
                  85,            0.019577,           0.0053229,                   0,             0.96469,              0.7193,             0.81868,             0.37326,            0.043452,           0.0080061,                   0,           0.0015566,           0.0015566,           0.0015566
                  86,            0.020092,           0.0055038,                   0,             0.95287,             0.71053,             0.81386,             0.37025,            0.043327,           0.0079827,                   0,           0.0014905,           0.0014905,           0.0014905
                  87,            0.019829,           0.0054316,                   0,             0.95348,             0.71923,             0.81714,             0.35922,            0.044074,           0.0079227,                   0,           0.0014283,           0.0014283,           0.0014283
                  88,            0.019076,           0.0050913,                   0,             0.95217,             0.70175,               0.815,             0.36006,            0.043174,             0.00788,                   0,           0.0013701,           0.0013701,           0.0013701
                  89,             0.01952,           0.0050664,                   0,             0.95349,             0.71929,             0.81935,             0.37214,            0.041964,           0.0079477,                   0,            0.001316,            0.001316,            0.001316
                  90,            0.020076,           0.0051113,                   0,             0.95222,             0.70175,             0.80927,             0.36873,            0.042369,           0.0079068,                   0,            0.001266,            0.001266,            0.001266
                  91,            0.019486,           0.0048367,                   0,             0.95289,             0.71053,             0.81097,             0.37122,             0.04245,           0.0078827,                   0,           0.0012202,           0.0012202,           0.0012202
                  92,            0.019299,           0.0047174,                   0,             0.96428,             0.71042,             0.81581,             0.36707,            0.042704,           0.0079551,                   0,           0.0011787,           0.0011787,           0.0011787
                  93,            0.018402,           0.0049732,                   0,             0.95977,             0.70175,             0.80028,             0.36738,            0.042997,           0.0080029,                   0,           0.0011414,           0.0011414,           0.0011414
                  94,            0.018594,           0.0049071,                   0,             0.95286,             0.71053,             0.80646,             0.37071,            0.043601,           0.0079528,                   0,           0.0011084,           0.0011084,           0.0011084
                  95,            0.019314,           0.0050342,                   0,             0.96438,              0.7193,             0.81409,             0.37038,            0.043974,           0.0079258,                   0,           0.0010797,           0.0010797,           0.0010797
                  96,            0.019362,           0.0050767,                   0,             0.96367,             0.70175,             0.81415,             0.36807,            0.043753,           0.0079783,                   0,           0.0010554,           0.0010554,           0.0010554
                  97,             0.01951,           0.0048648,                   0,             0.95225,             0.70175,             0.80041,             0.36288,            0.042842,           0.0080637,                   0,           0.0010355,           0.0010355,           0.0010355
                  98,            0.018213,           0.0050024,                   0,             0.95231,             0.70175,             0.79649,             0.36533,            0.043344,           0.0080816,                   0,             0.00102,             0.00102,             0.00102
                  99,            0.017918,           0.0047807,                   0,             0.95238,              0.7017,             0.79745,             0.36791,             0.04321,           0.0080351,                   0,           0.0010089,           0.0010089,           0.0010089
